l0,k,iteration,mean_pearsonR,std_pearsonR
1,0,1,0.078506929763856,0.271263514226697
1,0,2,-0.0143301374150352,0.294674589881218
1,0,3,0.0582544884125443,0.240008651197175
1,0,4,-0.00501389321769529,0.202075502362445
1,0,5,0.0893887558929906,0.236543178356554
1,0,6,-0.0203431207385239,0.249047581473343
1,0,7,-0.0880692732985466,0.236086777493107
1,0,8,0.125915562245852,0.272444350523074
1,0,9,0.0390987880281106,0.247994299542754
1,0,10,-0.115000343243563,0.311571465907024
1,0,11,-0.0352230196376635,0.279528677115837
1,0,12,-0.0870951269710914,0.305391078205557
1,0,13,-0.0383484061234327,0.494495487355291
1,0,14,-0.106685824614839,0.189303481516035
1,0,15,-0.101006468035774,0.3855644444758
1,0,16,0.125501362627617,0.277217229284809
1,0,17,0.189511002194154,0.191369253882599
1,0,18,-0.0464146820420788,0.307287590065164
1,0,19,-0.0270325215790229,0.298714652026194
1,0,20,-0.0809893041433284,0.231890440988504
1,0,21,-0.038204901072786,0.250840001420024
1,0,22,-0.0180032619553348,0.189743902935259
1,0,23,0.0348374375251381,0.232779077945333
1,0,24,-0.0394593127292337,0.259958512361748
1,0,25,0.0165236058443133,0.325478166163663
1,0,26,-0.0176343355713036,0.213793691428021
1,0,27,-0.0301293891471591,0.376990788039299
1,0,28,-0.0737242396533902,0.295107077260507
1,0,29,-0.00350925154154276,0.31936768626992
1,0,30,-0.0802089879380171,0.176077563464123
1,0,31,0.00319546651605372,0.303759055275347
1,0,32,-0.0649084244044472,0.204829177770703
1,0,33,-0.00937623368124406,0.199171642440166
1,0,34,-0.0659989939796089,0.248816943790227
1,0,35,-0.0550816833008334,0.295423061267972
1,0,36,-0.125839554274025,0.364217367886322
1,0,37,-0.0119783782742581,0.279686051739252
1,0,38,0.0779562447031273,0.261493857318615
1,0,39,-0.0758135453852104,0.371050389337014
1,0,40,-0.124903240820176,0.336182000370153
1,0,41,0.0646252222683412,0.284321201275096
1,0,42,0.0305846269142857,0.207354988927689
1,0,43,0.0154706259863551,0.282250184272152
1,0,44,0.114576632260479,0.241900508441216
1,0,45,0.0722652383557983,0.20700486824069
1,0,46,0.25081270242257,0.171548380211711
1,0,47,-0.0711222412055833,0.180565740408121
1,0,48,0.0245210469687561,0.28868881546045
1,0,49,-0.116882256377831,0.275218710020528
1,0,50,0.0710389045448672,0.226369223423201
1,0.2,1,-0.0526163170331746,0.324229264484717
1,0.2,2,-0.123181170280256,0.313987751191872
1,0.2,3,0.0496151858033072,0.280884521238492
1,0.2,4,-0.0781163682214058,0.280385322811615
1,0.2,5,0.118608917159227,0.242807153385241
1,0.2,6,-0.107114379725024,0.192449693717285
1,0.2,7,-0.0593312264717274,0.406571352873368
1,0.2,8,-0.0571279682720657,0.217697149080025
1,0.2,9,-0.123706725694467,0.17645176285035
1,0.2,10,-0.116602762068226,0.255447586982187
1,0.2,11,-0.0939351439410696,0.225738250814613
