kon_0,koff_0,iteration,mean_Cij,std_Cij
0,0,1,0.00401721569786877,0.00369121688162947
0,0,2,0.0195848205806218,0.0128568822215226
0,0,3,-0.0180801344558825,0.0122293597565797
0,0,4,-0.0167041147745416,0.0146400597507354
0,0,5,0.00785479516716736,0.00566501699038184
0,0,6,-0.0154239916934109,0.0106907848938441
0,0,7,-0.0213493981523203,0.0178223533022781
0,0,8,0.00949913871200812,0.00688754938720792
0,0,9,0.0243707917098658,0.0174379419154393
0,0,10,-0.0119952850862332,0.00790818921313698
0,0,11,-0.00321095338539315,0.00361000984044006
0,0,12,-0.00321537530423856,0.00168643839975721
0,0,13,-0.0142798424600343,0.0116796838166017
0,0,14,-0.0175825694330863,0.0124867917131304
0,0,15,0.0111719235333875,0.0101991406357658
0,0,16,0.00890186775048882,0.0075566971193566
0,0,17,0.0259549440401192,0.0182177012902259
0,0,18,-0.0126126791205552,0.00777469561733337
0,0,19,0.0127238258361096,0.00989019766567127
0,0,20,0.00216285449718155,0.00239768122754566
0,0,21,-0.0236585527558952,0.0172113985363907
0,0,22,-0.0101939371249307,0.00755859662324967
0,0,23,0.0150439818948214,0.010954754787576
0,0,24,0.0186385057461467,0.0111337470082471
0,0,25,0.0028914989499883,0.00303661743842138
0,0,26,-0.0242739895550746,0.019365149335941
0,0,27,-0.0123993735344825,0.00869324764228953
0,0,28,0.000336735904107097,0.00227640146086182
0,0,29,0.00820376630292689,0.00596311422169662
0,0,30,0.0204692896858384,0.0143789861817277
0,0,31,0.0149831599587668,0.0126750589949343
0,0,32,0.0013183223320295,0.00150800380048173
0,0,33,0.0384935893052728,0.0286461628159602
0,0,34,-0.0120080100725465,0.0102849072742103
0,0,35,-0.00942644525617987,0.00819414788979402
0,0,36,0.0130907698209203,0.00735999955929761
0,0,37,0.00235710292090721,0.00116156767213698
0,0,38,-0.0163375530060143,0.0102025175731004
0,0,39,0.00840253196998518,0.00596622830431537
0,0,40,-0.009818347126584,0.00710216410018038
0,0,41,-0.00809399892255834,0.00507975731594257
0,0,42,-0.0130659785687916,0.0089830779806966
0,0,43,-0.00334798607157693,0.00134354996570616
0,0,44,0.0131805882512332,0.00839804339615985
0,0,45,-0.0118033540915969,0.0066454998948695
0,0,46,-0.00349144641537908,0.0029376563345155
0,0,47,0.0214150503031151,0.0190973830943663
0,0,48,-0.011248907205584,0.00788200119346526
0,0,49,0.00712187151968692,0.00525666903554952
0,0,50,-0.0264499112381392,0.0178912373007876
0,5,1,0.017501780252573,0.0124050463900471
0,5,2,0.0229446138605155,0.0175172132732056
0,5,3,-0.00743942455665193,0.00542224083504694
0,5,4,0.0131179735731489,0.00721173755711749
0,5,5,-0.0109191828511867,0.00581059718087083
0,5,6,-0.0152663404285903,0.0109852767700882
0,5,7,0.0162382354879455,0.0120270983299723
0,5,8,0.0135322816527018,0.00923300385007945
0,5,9,-0.0162227964143581,0.0111774928278961
0,5,10,0.00409665759331574,0.0020807165332379
0,5,11,-0.000564419778376457,0.000989762188313288
0,5,12,-0.0260523804809681,0.0222823089873354
0,5,13,-0.0182284712544994,0.0134914061626578
0,5,14,0.00528427574940077,0.00368060952869911
