AlphaScale,Alpha,Kct,Avg_KE
3,10,10,0.0206342726621694
3,10,10.1,0.0203013716008418
3,10,10.2,0.0199830528776366
3,10,10.3,0.0196789086370805
3,10,10.4,0.0193885465167564
3,10,10.5,0.0191115889793268
3,10,10.6,0.0188476726771303
3,10,10.7,0.0185964478475692
3,10,10.8,0.018357577737614
3,10,10.9,0.018130738055853
3,10,11,0.0179156164505982
3,10,11.1,0.0177119120126649
3,10,11.2,0.0175193348015195
3,10,11.3,0.0173376053935458
3,10,11.4,0.0171664544512906
3,10,11.5,0.0170056223125873
3,10,11.6,0.0168548585985226
3,10,11.7,0.0167139218392851
3,10,11.8,0.0165825791169831
3,10,11.9,0.0164606057245561
3,10,12,0.016347784839974
3,10,12.1,0.0162439072149677
3,10,12.2,0.0161487708775376
3,10,12.3,0.0160621808475789
3,10,12.4,0.015983948864968
3,10,12.5,0.0159138931294987
3,10,12.6,0.0158518380520867
3,10,12.7,0.0157976140166987
3,10,12.8,0.0157510571524923
3,10,12.9,0.0157120091156658
3,10,13,0.0156803168805661
3,10,13.1,0.0156558325396131
3,10,13.2,0.0156384131116118
3,10,13.3,0.0156279203580823
3,10,13.4,0.0156242206072081
3,10,13.5,0.0156271845850833
3,10,13.6,0.0156366872538693
3,10,13.7,0.0156526076566037
3,10,13.8,0.0156748287683197
3,10,13.9,0.0157032373531991
3,10,14,0.0157377238274908
3,10,14.1,0.0157781821279344
3,10,14.2,0.0158245095854431
3,10,14.3,0.0158766068038118
3,10,14.4,0.0159343775432321
3,10,14.5,0.0159977286084009
3,10,14.6,0.0160665697410168
3,10,14.7,0.0161408135164996
3,10,14.8,0.0162203752447071
3,10,14.9,0.0163051728745218
3,10,15,0.0163951269021097
3,10,15.1,0.0164901602827292
3,10,15.2,0.0165901983458958
3,10,15.3,0.016695168713814
3,10,15.4,0.0168050012228912
3,10,15.5,0.0169196278482427
3,10,15.6,0.0170389826310463
3,10,15.7,0.0171630016086356
3,10,15.8,0.0172916227472177
3,10,15.9,0.0174247858771089
3,10,16,0.0175624326304005
3,10,16.1,0.0177045063809232
3,10,16.2,0.0178509521864673
3,10,16.3,0.0180017167331291
3,10,16.4,0.0181567482817046
3,10,16.5,0.0183159966160891
3,10,16.6,0.0184794129935434
3,10,16.7,0.0186469500968151
3,10,16.8,0.0188185619879867
3,10,16.9,0.0189942040640311
3,10,17,0.0191738330139957
3,10,17.1,0.0193574067777287
3,10,17.2,0.0195448845061239
3,10,17.3,0.0197362265228099
3,10,17.4,0.0199313942872258
3,10,17.5,0.0201303503590589
3,10,17.6,0.0203330583639399
3,10,17.7,0.0205394829604143
3,10,17.8,0.0207495898080979
3,10,17.9,0.0209633455369821
3,10,18,0.0211807177178771
3,10,18.1,0.0214016748338878
3,10,18.2,0.0216261862529724
3,10,18.3,0.0218542222014477
